county,population,unemploymentRate,povertyRate,medianIncome,avgmealmon,homeless,pplweekmon,drivealone,carpooled,publicTrans,walked,meanHouseIncome,yeshealth,privatehealth,publichealth,nohealth,POP_SNAP
Atlantic,263670,4.875,0.111,63389,3.43,357,62.84,100267,9897,4174,5923,93192,238684,167592,106540,22656,32072
Bergen,932202,3.425,0.056,108827,4,271,45.530,323546,31853,82264,10764,147611,862372,706314,247591,64289,30301
Burlington,445349,3.175,0.055,88797,3.49,518,39.550,185678,18855,6989,1733,114940,407683,345164,125525,19669,19123
Camden,506471,3.900,0.107,73672,3.58,603,58.000,188830,24875,15967,3665,100804,468706,344865,186648,32088,59120
Cape May,92039,7.283,0.088,69980,3.71,90,72.600,32620,4167,232,2625,98993,83788,61367,40763,6102,6712
Cumberland,149527,5.267,0.132,54587,3.15,183,62.140,48003,8184,842,776,82821,125438,81559,63875,12982,23035
Essex,798975,4.275,0.139,64626,4.07,2235,73.860,227717,26066,77516,11406,106759,697155,477868,279194,89731,102695
Gloucester,291636,3.533,0.077,89447,3.44,103,44.170,123176,12486,3602,2355,107975,277433,229996,84646,12856,16369
Hudson,672391,3.133,0.139,78808,3.32,890,62.680,133914,24268,154220,26067,110580,583466,408056,209884,83573,84077
Hunterdon,124371,2.650,0.036,116155,3.59,173,33.910,52745,4107,2419,1106,154256,117196,101337,33645,3562,2453
Mercer,367430,3.042,0.128,79492,3.59,448,50.390,121386,18062,13306,7582,115317,334962,272007,106845,26621,26399
Middlesex,825062,4.875,0.088,93418,3.32,620,41.870,293942,39917,40281,10869,117164,756678,611723,225693,61803,46135
Monmouth,618795,3.067,0.06,102870,3.68,360,44.810,245365,23232,25411,3332,143028,582900,495410,175902,32036,26513
Morris,491845,2.717,0.055,116283,3.94,388,39.190,201051,19344,13863,3862,154989,462120,401056,118305,25984,11744
Ocean,607186,3.533,0.09,76093,3.53,305,53.150,216874,18367,4159,4277,97772,574322,422644,257181,27421,43890
Passaic,501826,4.150,0.134,77040,3.51,391,60.700,179563,24974,22581,10179,99414,429236,285838,182349,69727,87978
Salem,62385,4.650,0.124,68531,3.78,29,69.790,25218,2175,280,719,90349,57683,43208,24924,3521,7269
Somerset,328934,2.892,0.057,111587,3.8,301,33.690,136950,9278,9106,2958,152445,304212,263423,75797,21622,8374
Sussex,140488,3.300,0.047,101130,3.99,87,44.450,63218,4304,1583,628,124822,135783,120563,36154,3559,3550
Union,556341,3.550,0.091,80339,3.66,438,45.250,193471,20042,31532,6724,116947,484102,367188,163143,67770,37773
Warren,105267,3.250,0.068,84479,3.68,74,54.330,43468,4149,419,1224,102202,99716,82988,33065,4769,6105
Atlantic,263989,5.700,0.129,61212,3.45,437,66.960,98947,11801,5999,4268,84780,242160,176440,100356,20731,36310
Bergen,932816,3.992,0.069,100361,3.96,354,43.480,326991,34929,71665,13095,137007,859058,719986,234608,71551,33014
Burlington,444745,3.642,0.058,84889,3.37,840,42.620,186867,15528,8044,1641,112755,411774,347225,128957,17584,20901
Camden,506353,4.450,0.133,67523,3.46,577,60.620,184080,19848,19004,4337,91076,465899,344769,186418,35788,62725
Cape May,92446,8.533,0.094,67007,3.77,103,75.920,34679,2880,619,1796,97909,85829,69039,35810,4367,7246
Cumberland,150635,6.208,0.146,52795,3.03,156,65.810,45525,8775,1508,325,68355,128480,86932,65714,11190,25400
Essex,798570,4.958,0.152,63368,4.21,2229,89.600,231247,28989,79678,14030,105636,700957,482165,283809,87032,110408
Gloucester,291525,4.067,0.078,81849,3.26,144,43.020,120294,11637,2856,1754,101668,278350,231049,86115,11937,17284
Hudson,671931,3.717,0.144,74414,3.26,860,59.520,133847,23028,159143,23627,106971,591327,408130,223317,79524,91997
Hunterdon,124807,3.108,0.048,111269,3.4,169,30.320,49718,4714,1918,1169,143132,118570,103833,32079,2490,2499
Mercer,368188,3.492,0.112,80632,3.45,479,51.640,124191,24995,12175,8663,114713,336051,264677,115295,29145,28169
Middlesex,826172,3.500,0.083,88217,3.21,596,39.750,286700,41199,45941,6220,110681,773271,643292,212746,48768,50462
Monmouth,620459,3.525,0.066,99642,3.55,335,42.740,238113,21361,27236,4396,134685,586471,501731,168928,31059,29000
Morris,493070,3.125,0.045,112288,3.85,398,34.720,206052,15635,11924,3041,158144,469138,416611,115495,20670,12753
Ocean,601478,4.092,0.098,68551,3.49,311,51.930,208998,20736,4076,2963,94143,562176,425028,247103,34518,47099
Passaic,503183,4.900,0.136,75259,3.5,434,61.730,177386,26688,18800,9192,98797,435224,284966,187155,64655,93507
Salem,62746,5.258,0.116,65733,3.78,47,72.490,23037,2516,261,816,81113,58659,45694,23081,2727,7569
Somerset,330181,3.292,0.046,121378,3.72,206,32.520,133814,13510,9156,1611,154334,314930,274172,75029,13417,9516
Sussex,140801,3.800,0.048,92818,4.01,113,43.110,63224,5053,1251,606,116821,134976,116894,35838,4576,3710
Union,556402,4.133,0.073,82186,3.57,459,49.120,197277,21966,32539,8317,118906,495552,383659,161664,58375,40841
Warren,105528,3.717,0.061,77452,3.55,56,49.450,44790,4427,843,799,98174,100136,84168,30085,4896,6521
Atlantic,269918,7.067,0.148,61777,3.36,422,73.830,95946,9442,7563,5379,81145,243932,173876,106254,23353,39614
Bergen,948406,4.508,0.066,94107,3.76,302,45.650,318815,33776,78193,13707,129575,868179,722499,237104,73761,36628
Burlington,448596,4.000,0.063,87673,3.24,604,51.300,183120,15284,7869,3880,108920,414546,348415,131562,19800,22914
Camden,510719,4.975,0.115,66196,3.37,540,67.790,190752,21003,19032,5074,88529,474465,359703,177680,31367,65177
Cape May,94549,9.450,0.097,66953,3.61,119,73.320,33122,2997,780,1410,88474,87065,69504,36306,4292,7802
Cumberland,154952,6.800,0.192,52627,2.92,151,64.370,50059,7967,908,678,70626,127140,79911,64358,14591,26408
Essex,808285,5.517,0.158,60430,4.02,2048,110.880,231025,26852,82492,16941,101639,712614,501461,276902,83967,116345
Gloucester,292206,4.617,0.062,86496,3.14,128,49.330,124569,8976,3326,1264,101964,278690,230146,84056,12396,18496
Hudson,691643,4.242,0.14,67154,3.17,822,56.620,128780,25604,162608,27772,98796,599335,410792,230105,87156,97524
Hunterdon,125717,3.442,0.038,112038,3.32,130,31.850,51314,3399,1981,1190,144363,116598,104345,28654,4764,2667
Mercer,374733,3.992,0.117,79173,3.26,478,58.630,124917,20806,13664,8029,116672,339820,261539,122785,30678,29166
Middlesex,842798,3.992,0.086,85337,3.1,546,42.960,300148,36585,38741,6878,108201,775131,630206,225524,59316,54353
Monmouth,626351,4.025,0.072,98270,3.51,299,47.730,237211,23297,25349,6097,132877,590376,500799,172782,32059,31568
Morris,499693,3.550,0.048,114732,3.7,378,35.430,208686,17194,14404,4079,151054,471353,420183,112874,23944,13434
Ocean,597943,4.692,0.104,71081,3.34,224,50.840,213335,19588,4167,2982,91689,557752,417500,243943,34581,53298
Passaic,512607,5.575,0.168,64233,3.34,449,55.530,173338,29861,17711,9755,85407,442822,289687,193524,66671,99584
Salem,63776,6.008,0.158,61250,3.72,17,80.330,24720,1946,374,512,77192,57935,42349,23515,3775,7897
Somerset,335432,3.700,0.052,112153,3.61,244,38.100,134340,12102,9821,4398,149999,316694,276594,71927,15808,10703
Sussex,143570,4.308,0.047,90026,3.86,99,44.160,62241,5648,1192,636,105432,134179,114315,39678,6207,4124
Union,563892,4.633,0.09,77326,3.35,475,52.770,197676,22496,30055,7805,111862,505060,376379,181707,54274,43657
Warren,107088,4.092,0.072,80657,3.75,57,55.930,45067,4511,836,1569,95224,100678,82340,31409,5308,6672
Atlantic,267217,7.375,0.144,56778,3.29,476,74.737,94205,8513,6985,4783,77520,245327,175959,101114,23367,42852
Bergen,928120,4.942,0.069,93683,3.77,296,48.675,322866,36042,72797,11054,126812,864092,728957,233171,68729,39891
Burlington,445972,4.442,0.058,80254,3.18,928,54.057,186863,17029,6476,3188,105413,416028,356306,126071,18130,26086
Camden,507002,5.458,0.118,66362,3.3,683,69.503,183891,28853,18392,3790,88390,472977,350459,187267,31593,68544
Cape May,93655,10.158,0.119,62548,3.89,133,83.786,34185,2952,493,2520,87477,87995,68253,38030,4388,8837
Cumberland,153233,7.425,0.192,49110,2.87,140,64.405,45694,7257,1091,1649,61132,125128,80073,63984,16136,28969
Essex,792689,5.958,0.164,54277,3.92,1782,114.196,220349,26234,79315,14097,92032,693541,477323,279154,91128,128144
Gloucester,290761,5.033,0.076,79879,3.08,112,52.019,126990,8153,4133,1840,95344,279275,231173,87679,11932,20361
Hudson,668588,4.650,0.156,63808,3.18,829,56.791,125042,30534,150625,27180,96308,581232,408994,215411,91628,107347
Hunterdon,124775,3.733,0.047,113684,3.94,133,42.533,51825,3429,2424,1186,145102,117329,104955,27989,3469,2933
Mercer,367699,4.292,0.111,77650,3.28,465,62.325,124046,19156,13215,6773,111623,340215,270623,109832,25693,31079
Middlesex,825457,4.408,0.086,82375,3.1,457,44.936,288129,38407,38103,9057,102689,768788,644184,210720,59345,57867
Monmouth,622971,4.408,0.069,90226,3.42,344,49.970,234029,25117,26350,4811,120305,583064,491203,170974,39056,34404
Morris,493801,3.875,0.054,106985,3.55,410,37.337,203846,16667,14776,4980,143205,471583,414234,115449,23449,14656
Ocean,590897,5.175,0.112,62222,3.28,430,52.144,203028,16703,4067,4404,82537,554785,409919,252880,32470,58614
Passaic,504147,6.108,0.176,62016,3.25,432,53.837,167654,29668,24351,8532,86051,439290,284889,194500,64663,104291
Salem,63203,6.350,0.133,53662,3.69,40,83.857,24679,2023,239,387,73756,58218,45408,23383,3988,8409
Somerset,329875,4.042,0.05,104478,3.52,218,41.455,135027,14408,7830,4033,142077,313800,282433,68256,17082,11799
Sussex,141925,4.667,0.06,87829,3.69,80,46.208,60487,3981,1155,937,109564,135598,113135,40106,6178,4320
Union,552781,5.125,0.106,72028,3.23,513,53.075,185853,23384,36120,7293,109955,486235,368030,169043,64764,48325
Warren,106059,4.550,0.088,74867,3.64,40,56.459,45260,6113,565,1059,94313,98108,81072,32226,7782,6985
Atlantic,270153,9.450,0.143,54052,3.12,548,79.473,97406,8585,9324,3935,77622,248134,180098,103075,23129,45731
Bergen,926391,5.700,0.071,89023,3.44,340,49.293,325330,31299,68027,13468,123878,853892,717188,226590,78734,40208
Burlington,446832,5.292,0.079,74800,2.96,1347,55.994,183658,17165,7390,3059,95897,415015,350740,129234,19883,28335
Camden,507638,6.392,0.132,65025,3.12,611,71.257,188187,19611,17925,5263,84255,469060,352305,175068,35907,70832
Cape May,94160,11.400,0.087,57116,3.71,157,90.198,32816,2293,1097,2533,79746,83998,64811,37161,8407,9362
Cumberland,154712,8.733,0.169,51315,2.77,201,65.321,55524,4669,667,1378,64461,128677,84403,60072,15144,30960
Essex,790439,6.817,0.171,52041,3.88,1723,121.540,222011,26299,82534,16144,90098,683109,475151,271950,102424,131030
Gloucester,290943,5.992,0.072,77565,2.89,120,54.512,121055,9017,2902,1841,94402,273514,226055,82679,16812,22368
Hudson,664492,5.308,0.179,60530,3.17,917,60.138,129988,25545,144502,29386,86763,575408,390983,226023,95820,112347
Hunterdon,125452,4.183,0.062,102122,3.83,140,45.842,52296,3314,1611,1543,131092,118997,103840,30725,2875,3148
Mercer,368124,4.925,0.112,72417,3.15,600,64.584,130123,14239,15593,6516,103099,334144,265703,110646,31197,32872
Middlesex,825546,5.067,0.085,78643,3.02,604,48.135,286296,34849,35972,16149,100506,760636,622891,218731,70857,57787
Monmouth,624079,5.125,0.074,87092,3.25,456,52.413,230815,20002,26829,6253,118207,583226,495145,167872,41313,36399
Morris,494259,4.308,0.049,101661,3.44,384,40.546,204603,17120,13970,4512,138939,469570,413936,115110,26588,15726
Ocean,587091,6.100,0.109,63765,3.17,605,56.206,209776,17389,4949,5120,84651,544441,407015,244185,39174,62408
Passaic,504629,6.967,0.176,55954,3.19,459,56.638,163128,23399,19413,7392,77492,449038,278983,208408,58241,105102
Salem,63732,7.258,0.114,68830,3.53,38,86.770,24202,2597,201,466,88766,59606,45104,23619,3332,9325
Somerset,329626,4.508,0.052,98440,3.41,342,43.307,134577,12021,8140,3684,132892,311777,274229,71082,18776,12874
Sussex,143004,5.367,0.048,85086,3.58,57,50.034,64944,4956,1040,1145,109179,136333,115072,38680,6468,4735
Union,549905,5.975,0.106,71163,3.02,504,54.202,177773,22037,34254,8130,102929,481160,361658,165957,69732,49795
Warren,106742,5.292,0.072,71277,3.54,58,61.756,43581,3883,1077,2116,89871,99484,81728,30788,6383,7542